_id,project,measures[0].metric,measures[1].metric,measures[2].metric,measures[3].metric,measures[4].metric,measures[5].metric,measures[6].metric,measures[7].metric,measures[8].metric,measures[9].metric,measures[10].metric,measures[11].metric,measures[12].metric,measures[13].metric,measures[14].metric,measures[15].metric,measures[16].metric,measures[17].metric,measures[18].metric,measures[19].metric,measures[20].metric,measures[21].metric,measures[22].metric,measures[23].metric,measures[24].metric,measures[25].metric,measures[26].metric,measures[27].metric,measures[28].metric,measures[29].metric,measures[30].metric,measures[31].metric,measures[32].metric,measures[33].metric,measures[34].metric,measures[35].metric,measures[36].metric,measures[37].metric,measures[38].metric,measures[39].metric,measures[40].metric,measures[41].metric,measures[42].metric,measures[43].metric,measures[44].metric,measures[45].metric,measures[46].metric,measures[47].metric,measures[48].metric,measures[49].metric,measures[50].metric,measures[51].metric,measures[52].metric,measures[0].value,measures[1].value,measures[2].value,measures[3].value,measures[4].value,measures[5].value,measures[6].value,measures[7].value,measures[8].value,measures[9].value,measures[10].value,measures[11].value,measures[12].value,measures[13].value,measures[14].value,measures[15].value,measures[16].value,measures[17].value,measures[18].value,measures[19].value,measures[20].value,measures[21].value,measures[22].value,measures[23].value,measures[24].value,measures[25].value,measures[26].value,measures[27].value,measures[28].value,measures[29].value,measures[30].value,measures[31].value,measures[32].value,measures[33].value,measures[34].value,measures[35].value,measures[36].value,measures[37].value,measures[38].value,measures[39].value,measures[40].value,measures[41].value,measures[42].value,measures[43].value,measures[44].value,measures[45].value,measures[46].value,measures[47].value,measures[48].value,measures[49].value,measures[50].value,measures[51].value,measures[52].value,measures[1].bestValue,measures[2].bestValue,measures[3].bestValue,measures[4].bestValue,measures[6].bestValue,measures[7].bestValue,measures[10].bestValue,measures[11].bestValue,measures[12].bestValue,measures[14].bestValue,measures[16].bestValue,measures[17].bestValue,measures[21].bestValue,measures[22].bestValue,measures[23].bestValue,measures[24].bestValue,measures[25].bestValue,measures[26].bestValue,measures[29].bestValue,measures[30].bestValue,measures[31].bestValue,measures[33].bestValue,measures[34].bestValue,measures[35].bestValue,measures[39].bestValue,measures[40].bestValue,measures[41].bestValue,measures[43].bestValue,measures[44].bestValue,measures[45].bestValue,measures[46].bestValue,measures[47].bestValue,measures[48].bestValue,measures[49].bestValue,measures[50].bestValue,measures[51].bestValue,measures[52].bestValue,measures[0].bestValue,measures[9].bestValue,measures[15].bestValue,measures[19].bestValue,measures[27].bestValue,measures[32].bestValue,measures[36].bestValue,measures[37].bestValue,measures[5].bestValue,measures[13].bestValue,measures[20].bestValue,measures[38].bestValue,measures[42].bestValue,measures[8].bestValue,measures[18].bestValue,measures[28].bestValue
df17c7efe3cd06d651add53f24bab2077adfb1b9,react,files,security_hotspots_reviewed,duplicated_blocks,major_violations,security_hotspots_reviewed_status,quality_gate_details,minor_violations,sqale_index,classes,lines,uncovered_lines,line_coverage,reopened_issues,alert_status,reliability_rating,file_complexity,effort_to_reach_maintainability_rating_a,sqale_debt_ratio,functions,ncloc,comment_lines,development_cost,critical_violations,comment_lines_density,vulnerabilities,code_smells,bugs,lines_to_cover,analysis_from_sonarqube_9_4,duplicated_lines_density,confirmed_issues,security_hotspots_to_review_status,last_commit_date,reliability_remediation_effort,cognitive_complexity,open_issues,statements,quality_profiles,ncloc_language_distribution,security_review_rating,security_rating,security_remediation_effort,complexity,wont_fix_issues,false_positive_issues,sqale_rating,duplicated_lines,violations,blocker_violations,coverage,info_violations,duplicated_files,security_hotspots,151,0.0,15,281,0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",86,23210,0,28410,10083,0.0,0,OK,4.0,32.0,0,4.2,1983,18296,4938,548880,2810,21.3,0,3207,12,10083,true,1.1,0,44,1371751046000,85,7259,3219,11075,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",js=18296,5.0,1.0,0,4827,0,0,1.0,301,3219,1,0.0,41,8,44,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,
a54333842fff597986ec686ed46c91007e76fa18,react,comment_lines_density,false_positive_issues,reliability_remediation_effort,security_hotspots,quality_gate_details,file_complexity,major_violations,security_rating,complexity,security_hotspots_reviewed,code_smells,open_issues,sqale_index,ncloc_language_distribution,development_cost,confirmed_issues,cognitive_complexity,functions,lines_to_cover,duplicated_lines_density,classes,blocker_violations,effort_to_reach_maintainability_rating_a,security_review_rating,uncovered_lines,sqale_debt_ratio,duplicated_files,critical_violations,statements,files,last_commit_date,security_hotspots_to_review_status,info_violations,violations,reopened_issues,analysis_from_sonarqube_9_4,security_remediation_effort,coverage,ncloc,vulnerabilities,duplicated_blocks,quality_profiles,lines,reliability_rating,alert_status,comment_lines,sqale_rating,security_hotspots_reviewed_status,line_coverage,minor_violations,bugs,wont_fix_issues,duplicated_lines,20.7,0,85,46,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",29.5,290,1.0,5433,0.0,3783,3795,26048,js=21889,656670,0,7606,2345,11898,1.7,0,1,0,5.0,11898,4.0,13,3366,12906,184,1374086011000,46,49,3795,0,true,0,0.0,21889,0,29,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",34108,4.0,OK,5711,1.0,0,0.0,89,12,0,576,true,false,false,,false,true,false,false,false,false,false,,false,true,false,false,false,false,,,false,false,true,,true,false,,false,,,true,true,false,false,false,true,false,false,false,true,false,false,false,true,false,,,,,,,,
0cac12d375264a8a232a426d6d6cc8074a94000a,react,confirmed_issues,info_violations,reliability_rating,functions,cognitive_complexity,line_coverage,violations,duplicated_blocks,alert_status,security_hotspots_to_review_status,comment_lines,code_smells,security_rating,security_hotspots_reviewed_status,file_complexity,files,duplicated_lines,reopened_issues,ncloc_language_distribution,duplicated_lines_density,sqale_debt_ratio,development_cost,lines_to_cover,security_remediation_effort,analysis_from_sonarqube_9_4,complexity,security_review_rating,wont_fix_issues,ncloc,bugs,blocker_violations,last_commit_date,vulnerabilities,sqale_index,classes,reliability_remediation_effort,quality_gate_details,security_hotspots,coverage,major_violations,security_hotspots_reviewed,false_positive_issues,effort_to_reach_maintainability_rating_a,critical_violations,comment_lines_density,uncovered_lines,open_issues,quality_profiles,sqale_rating,duplicated_files,lines,statements,minor_violations,0,48,3.0,2351,7589,0.0,3777,29,OK,47,5766,3766,1.0,0,29.0,187,576,0,js=21930,1.7,3.9,657900,11879,0,true,5424,5.0,0,21930,11,1,1374866703000,0,25968,0,75,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",47,0.0,290,0.0,0,0,3349,20.8,11879,3777,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",1.0,13,34284,12889,89,false,false,,false,false,false,,false,true,,false,true,false,,true,,,false,false,false,,false,,false,false,false,true,false,false,false,false,,true,false,,,false,true,false,,false,true,true,,false,false,true,false,false,true,,,
283f4a8b04db6bbd177e94404476cabaf569d3a7,react,confirmed_issues,security_hotspots_reviewed_status,blocker_violations,quality_gate_details,violations,security_hotspots_reviewed,reopened_issues,security_hotspots,reliability_remediation_effort,lines_to_cover,functions,code_smells,comment_lines_density,alert_status,files,statements,uncovered_lines,security_remediation_effort,security_hotspots_to_review_status,complexity,vulnerabilities,wont_fix_issues,file_complexity,duplicated_lines_density,effort_to_reach_maintainability_rating_a,duplicated_files,coverage,comment_lines,reliability_rating,ncloc_language_distribution,critical_violations,quality_profiles,sqale_index,cognitive_complexity,duplicated_lines,line_coverage,false_positive_issues,development_cost,bugs,sqale_debt_ratio,security_rating,minor_violations,duplicated_blocks,major_violations,last_commit_date,security_review_rating,analysis_from_sonarqube_9_4,open_issues,classes,sqale_rating,ncloc,lines,info_violations,0,0,1,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3777,0.0,0,47,75,11879,2351,3766,20.8,OK,187,12889,11879,0,47,5424,0,0,29.0,1.7,0,13,0.0,5766,3.0,js=21930,3349,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",25968,7589,576,0.0,0,657900,11,3.9,1.0,89,29,290,1387333790000,5.0,true,3777,0,1.0,21930,34284,48,true,false,,false,true,false,,false,false,,false,true,true,,false,true,false,false,,false,,false,false,false,false,true,false,false,,false,,false,,true,,,false,true,,,,,false,true,false,false,,true,false,false,false,false,false
f756cb3d9c504b3759fb4cc4f5aec1d1e4d31ee8,react,info_violations,violations,analysis_from_sonarqube_9_4,duplicated_blocks,development_cost,ncloc,security_hotspots_reviewed_status,uncovered_lines,minor_violations,major_violations,confirmed_issues,sqale_rating,duplicated_files,line_coverage,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,security_hotspots,cognitive_complexity,critical_violations,lines,files,open_issues,code_smells,quality_profiles,vulnerabilities,sqale_index,security_hotspots_to_review_status,false_positive_issues,security_remediation_effort,last_commit_date,blocker_violations,ncloc_language_distribution,reopened_issues,functions,wont_fix_issues,file_complexity,reliability_remediation_effort,complexity,statements,comment_lines_density,duplicated_lines,quality_gate_details,security_hotspots_reviewed,reliability_rating,security_rating,classes,lines_to_cover,coverage,bugs,security_review_rating,alert_status,comment_lines,duplicated_lines_density,44,4247,true,35,738480,24616,0,13265,88,296,0,1.0,14,0.0,3.8,0,45,7738,3818,38962,217,4247,4237,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",0,28324,45,0,0,1381949077000,1,js=24616,0,2605,0,26.8,75,5823,14278,21.0,691,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0.0,3.0,1.0,0,13265,0.0,10,5.0,OK,6554,1.8,false,,false,false,true,false,true,true,false,false,false,false,false,false,,true,false,false,,false,,,true,,false,false,,false,true,,,false,false,false,,,false,false,false,true,,true,true,false,,,false,,,false,false,false,true
f3db0006e832e24649278c9e9eab6b9ca2c80336,react,quality_profiles,uncovered_lines,coverage,ncloc,duplicated_blocks,duplicated_files,alert_status,statements,analysis_from_sonarqube_9_4,lines_to_cover,critical_violations,comment_lines_density,sqale_rating,bugs,reliability_rating,violations,security_review_rating,cognitive_complexity,files,blocker_violations,quality_gate_details,last_commit_date,functions,sqale_index,minor_violations,security_hotspots_reviewed,security_hotspots_to_review_status,effort_to_reach_maintainability_rating_a,security_rating,reopened_issues,info_violations,security_hotspots,code_smells,line_coverage,duplicated_lines,vulnerabilities,open_issues,ncloc_language_distribution,false_positive_issues,duplicated_lines_density,major_violations,security_hotspots_reviewed_status,comment_lines,reliability_remediation_effort,classes,file_complexity,lines,sqale_debt_ratio,wont_fix_issues,development_cost,security_remediation_effort,complexity,confirmed_issues,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",13294,0.0,24679,35,14,OK,14307,true,13294,3826,21.0,1.0,10,3.0,4255,5.0,7744,217,1,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1383072406000,2609,28364,88,0.0,45,0,1.0,0,44,45,4245,0.0,691,0,4255,js=24679,0,1.8,296,0,6557,75,0,26.9,39040,3.8,0,740370,0,5832,0,false,false,,false,,,false,false,true,false,false,false,,,false,false,false,false,true,false,false,false,false,true,false,false,true,false,,,,false,true,false,true,,true,,,false,false,true,false,false,,false,false,,true,,,,true
e6912a7a4abafeacad000a74a95055365ec6d12b,react,code_smells,blocker_violations,vulnerabilities,wont_fix_issues,security_review_rating,files,security_hotspots,sqale_debt_ratio,cognitive_complexity,coverage,minor_violations,functions,bugs,duplicated_files,complexity,major_violations,comment_lines_density,quality_profiles,file_complexity,lines,open_issues,security_hotspots_to_review_status,violations,line_coverage,security_hotspots_reviewed_status,security_hotspots_reviewed,security_remediation_effort,ncloc,security_rating,confirmed_issues,duplicated_blocks,sqale_index,reliability_remediation_effort,development_cost,reopened_issues,sqale_rating,lines_to_cover,analysis_from_sonarqube_9_4,duplicated_lines_density,classes,last_commit_date,effort_to_reach_maintainability_rating_a,false_positive_issues,alert_status,statements,comment_lines,ncloc_language_distribution,quality_gate_details,info_violations,duplicated_lines,critical_violations,uncovered_lines,reliability_rating,4246,1,0,0,5.0,217,45,3.8,7744,0.0,88,2609,10,14,5832,296,21.0,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",26.9,39042,4256,45,4256,0.0,0,0.0,0,24681,1.0,0,35,28369,75,740430,0,1.0,13295,true,1.8,0,1387397094000,0,0,OK,14308,6557,js=24681,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",44,691,3827,13295,3.0,false,true,true,false,false,false,false,,false,,false,,false,false,false,true,false,true,true,false,false,false,true,true,,,true,,,,,,false,false,false,false,false,false,false,false,,,false,,,,false,false,false,true,false,,true
2e1e868080a1bc1dedb9e75f018e5823f60cd125,react,ncloc_language_distribution,statements,reliability_rating,duplicated_lines,sqale_index,cognitive_complexity,security_review_rating,quality_gate_details,analysis_from_sonarqube_9_4,last_commit_date,development_cost,duplicated_lines_density,sqale_debt_ratio,false_positive_issues,alert_status,reliability_remediation_effort,open_issues,comment_lines,complexity,sqale_rating,security_hotspots_reviewed,ncloc,reopened_issues,security_hotspots_reviewed_status,functions,security_hotspots_to_review_status,effort_to_reach_maintainability_rating_a,code_smells,security_remediation_effort,classes,info_violations,files,quality_profiles,coverage,minor_violations,bugs,duplicated_files,major_violations,confirmed_issues,vulnerabilities,wont_fix_issues,critical_violations,lines_to_cover,uncovered_lines,blocker_violations,lines,file_complexity,security_hotspots,security_rating,line_coverage,violations,comment_lines_density,duplicated_blocks,js=24808,14347,3.0,691,28401,7761,5.0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",true,1387478463000,744240,1.8,3.8,0,OK,75,4263,6698,5860,1.0,0.0,24808,0,0,2621,45,0,4253,0,0,45,223,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",0.0,88,10,14,296,0,0,0,3833,13335,13335,1,39382,26.3,45,1.0,0.0,4263,21.3,35,,false,false,false,false,,false,false,false,,false,,,true,true,,false,true,,false,,false,false,false,true,true,false,false,false,,,false,true,false,false,false,false,,,false,true,false,,false,false,false,true,false,true,,,,true
274aca309334313e817d39c8fe0e719999a5a033,react,comment_lines,cognitive_complexity,file_complexity,blocker_violations,false_positive_issues,duplicated_files,duplicated_lines_density,sqale_debt_ratio,quality_profiles,sqale_index,effort_to_reach_maintainability_rating_a,classes,reliability_rating,files,reopened_issues,duplicated_lines,bugs,minor_violations,code_smells,security_review_rating,statements,security_remediation_effort,uncovered_lines,line_coverage,analysis_from_sonarqube_9_4,critical_violations,security_hotspots,vulnerabilities,violations,confirmed_issues,coverage,functions,sqale_rating,ncloc_language_distribution,lines_to_cover,wont_fix_issues,last_commit_date,major_violations,comment_lines_density,complexity,alert_status,reliability_remediation_effort,security_hotspots_to_review_status,info_violations,security_rating,quality_gate_details,lines,development_cost,open_issues,security_hotspots_reviewed,duplicated_blocks,ncloc,security_hotspots_reviewed_status,5921,2374,16.1,20,0,23,3.0,2.5,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",18764,0,0,4.0,269,0,1184,10,48,3701,5.0,12355,0,12166,0.0,true,3509,32,0,3711,0,0.0,2577,1.0,js=24615,12166,0,1392879030000,85,19.4,4326,OK,70,32,49,1.0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",38920,738450,3711,0.0,54,24615,0,false,,false,true,false,false,true,,false,true,false,false,true,false,false,,false,false,true,false,,,,true,,,false,false,true,,,false,false,false,false,,true,,false,false,false,true,true,,false,false,,,false,false,,false,false
dedf0c20da67872b5dff21a25cb9075e6019c12e,react,lines,code_smells,quality_profiles,file_complexity,critical_violations,security_rating,major_violations,alert_status,line_coverage,reopened_issues,bugs,blocker_violations,classes,cognitive_complexity,lines_to_cover,analysis_from_sonarqube_9_4,development_cost,files,complexity,reliability_rating,false_positive_issues,security_hotspots_reviewed_status,minor_violations,duplicated_lines,duplicated_files,comment_lines,security_review_rating,sqale_index,quality_gate_details,ncloc,sqale_debt_ratio,uncovered_lines,effort_to_reach_maintainability_rating_a,info_violations,duplicated_blocks,security_hotspots,sqale_rating,security_remediation_effort,comment_lines_density,security_hotspots_to_review_status,vulnerabilities,last_commit_date,duplicated_lines_density,open_issues,statements,violations,functions,wont_fix_issues,security_hotspots_reviewed,ncloc_language_distribution,confirmed_issues,reliability_remediation_effort,coverage,39576,3777,"[{""key"":""AY3AtCpve-KfZapoYRyH"",""language"":""js"",""name"":""Sonar way"",""rulesUpdatedAt"":""2024-02-19T09:30:49+0000""}]",16.0,3578,1.0,96,OK,0.0,0,10,20,0,2377,12394,true,750030,272,4365,4.0,0,0,47,1337,26,6033,5.0,19238,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",25001,2.6,12394,0,46,58,30,1.0,0,19.4,30,0,1395434042000,3.4,3787,12579,3787,2604,0,0.0,js=25001,0,70,0.0,false,,,false,false,,false,false,,,false,,true,false,false,false,,false,,false,false,false,false,false,false,true,,false,,false,,true,false,,true,false,false,,true,,false,false,true,true,true,true,false,true,false,false,false,,
